Password,Name,Gender,Student ID,Class,Major,Date of Enrollment ,Date of Graduation ,School,Student Type
123123,Yichang Zhang,Male,2020213362,2020215111,E-Commerce Engineering with Law ,202009,202407,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
789456,刘秀珍,Female,2019213654,2019215110,IoT,Sep-19,Jun-23,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456123,张东明,Male,2020213654,2020215112,E-Commerce,Sep-20,Jun-24,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165432,王艳丽,Female,2019213654,2019215113,Telecom,Sep-19,Jun-23,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321654,陈华锋,Male,2020213654,2020215104,IoT,Sep-20,Jun-24,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987654,林佩芬,Female,2019213654,2019215118,E-Commerce,Sep-19,Jun-23,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654321,陈淑芳,Female,2020213654,2020215111,Telecom,Sep-20,Jun-24,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147258,李建国,Male,2019213654,2019215121,IoT,Sep-19,Jun-23,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258369,王美丽,Female,2020213654,2020215107,E-Commerce,Sep-20,Jun-24,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369852,张世华,Male,2019213654,2019215116,Telecom,Sep-19,Jun-23,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471258,郑宇佳,Female,2020213654,2020215120,IoT,Sep-20,Jun-24,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582469,林雪燕,Female,2019213654,2019215110,E-Commerce,Sep-19,Jun-23,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693578,吴美玲,Female,2020213654,2020215112,Telecom,Sep-20,Jun-24,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804687,许浩宇,Male,2019213654,2019215114,IoT,Sep-19,Jun-23,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915796,郭美玲,Female,2020213654,2020215109,E-Commerce,Sep-20,Jun-24,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111111,邓美丽,Female,2019213654,2019215115,Telecom,Sep-19,Jun-23,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222222,陈丽君,Female,2020213654,2020215115,IoT,Sep-20,Jun-24,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333333,李淑华,Female,2019213654,2019215105,E-Commerce,Sep-19,Jun-23,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444444,吴建国,Male,2020213654,2020215119,Telecom,Sep-20,Jun-24,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555555,林美玲,Female,2019213654,2019215120,IoT,Sep-19,Jun-23,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666666,陈志明,Male,2020213654,2020215114,E-Commerce,Sep-20,Jun-24,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777777,王丽华,Female,2019213654,2019215112,Telecom,Sep-19,Jun-23,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888888,李华丽,Female,2020213654,2020215108,IoT,Sep-20,Jun-24,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999999,林建国,Male,2019213654,2019215119,E-Commerce,Sep-19,Jun-23,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246801,许美玲,Female,2020213654,2020215113,Telecom,Sep-20,Jun-24,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623398,林霞,Female,2019213557,2019215109,Telecom,Sep-19,Jun-23,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188104,刘淑芬,Female,2020214363,2020215111,IoT,Sep-20,Jun-24,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624705,吴敏,Female,2019215021,2019215120,E-Commerce,Sep-19,Jun-23,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228117,张晓宇,Male,2020213181,2020215116,Telecom,Sep-20,Jun-24,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300725,王凤英,Female,2019213038,2019215107,E-Commerce,Sep-19,Jun-23,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950423,邱勇,Male,2019214145,2019215107,Telecom,Sep-19,Jun-23,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983733,汪洋,Male,2020213331,2020215113,E-Commerce,Sep-20,Jun-24,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410008,陈静,Female,2020213294,2020215104,IoT,Sep-20,Jun-24,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
972951,赖明,Male,2019213197,2019215121,E-Commerce,Sep-19,Jun-23,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318184,李磊,Male,2020214235,2020215120,IoT,Sep-20,Jun-24,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244479,龚丽,Female,2019213442,2019215106,Telecom,Sep-19,Jun-23,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487205,吴明,Male,2019213545,2019215110,E-Commerce,Sep-19,Jun-23,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890070,梁涛,Male,2020214394,2020215114,Telecom,Sep-20,Jun-24,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
734056,黄敏,Female,2020213147,2020215107,IoT,Sep-20,Jun-24,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522414,赵杰,Male,2020214527,2020215120,E-Commerce,Sep-20,Jun-24,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482396,王芳,Female,2019214336,2019215114,Telecom,Sep-19,Jun-23,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678955,郭军,Male,2020214241,2020215120,E-Commerce,Sep-20,Jun-24,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604998,邓红,Female,2019213853,2019215109,IoT,Sep-19,Jun-23,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802663,杨秀兰,Female,2020214379,2020215117,Telecom,Sep-20,Jun-24,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101336,黄丽,Female,2020213838,2020215104,E-Commerce,Sep-20,Jun-24,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451056,周明,Male,2020214209,2020215105,IoT,Sep-20,Jun-24,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450334,韩秀兰,Female,2020213942,2020215115,Telecom,Sep-20,Jun-24,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860677,沈秀英,Female,2020214032,2020215106,E-Commerce,Sep-20,Jun-24,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651980,刘艳,Female,2019214968,2019215119,IoT,Sep-19,Jun-23,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716285,赵洋,Male,2020213042,2020215118,Telecom,Sep-20,Jun-24,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
783661,杨阳,Male,2019213463,2019215113,E-Commerce,Sep-19,Jun-23,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324252,李静,Female,2020213257,2020215110,IoT,Sep-20,Jun-24,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447899,谢秀兰,Female,2019214727,2019215102,Telecom,Sep-19,Jun-23,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136662,黄勇,Male,2020214168,2020215119,E-Commerce,Sep-20,Jun-24,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952755,潘涛,Male,2019213328,2019215111,IoT,Sep-19,Jun-23,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
